Decimal Year,Value
2009.6246575,0.311219
2009.6438356,0.368773
2009.6630137,0.324265
2009.6821918,0.239914
2009.7013699,0.231776
2009.7205479,0.249604
2009.739726,0.298019
2009.7589041,0.424854
2009.7780822,0.536852
2009.7972603,0.633641
2009.8164384,0.797386
2009.8356164,0.94526
2009.8547945,0.951358
2009.8739726,0.945806
2009.8931507,0.910623
2009.9123288,0.907123
2009.9315068,1.036097
2009.9506849,1.202924
2009.969863,1.275628
2009.9890411,1.350407
2010.0082192,1.245082
2010.0273973,1.122542
2010.0465753,1.011607
2010.0657534,0.963117
2010.0849315,1.212455
2010.1041096,1.314207
2010.1232877,1.287849
2010.1424658,1.11658
2010.1616438,1.161794
2010.1808219,1.0529
2010.2,0.93508
2010.2191781,0.820426
2010.2383562,0.72364
2010.2575342,0.710096
2010.2767123,0.659379
2010.2958904,0.493075
2010.3150685,0.373143
2010.3342466,0.212359
2010.3534247,0.135219
2010.3726027,0.005523
2010.3917808,-0.151281
2010.4109589,-0.241789
2010.430137,-0.46902
2010.4493151,-0.541519
2010.4684932,-0.546317
2010.4876712,-0.53895
2010.5068493,-0.747884
2010.5260274,-0.768336
2010.5452055,-0.730115
2010.5643836,-0.798168
2010.5835616,-1.016151
2010.6027397,-1.061556
2010.6219178,-1.118011
2010.6410959,-1.18634
2010.660274,-1.272546
2010.6794521,-1.342701
2010.6986301,-1.415701
2010.7178082,-1.455751
2010.7369863,-1.522183
2010.7561644,-1.484458
2010.7753425,-1.542585
2010.7945205,-1.602016
2010.8136986,-1.60036
2010.8328767,-1.615194
2010.8520548,-1.622785
2010.8712329,-1.651716
2010.890411,-1.605471
2010.909589,-1.674402
2010.9287671,-1.648781
2010.9479452,-1.672813
2010.9671233,-1.696565
2010.9863014,-1.726837
2011.0054795,-1.650908
2011.0246575,-1.692035
2011.0438356,-1.804757
2011.0630137,-1.735763
2011.0821918,-1.642232
2011.1013699,-1.40051
2011.1205479,-1.35385
2011.139726,-1.32241
2011.1589041,-1.290608
2011.1780822,-1.072553
2011.1972603,-0.995149
2011.2164384,-0.963514
2011.2356164,-0.976265
2011.2547945,-0.823005
2011.2739726,-0.768081
2011.2931507,-0.752525
2011.3123288,-0.68191
2011.3315068,-0.624726
2011.3506849,-0.534448
2011.369863,-0.442225
2011.3890411,-0.379443
2011.4082192,-0.382794
2011.4273973,-0.554854
2011.4465753,-0.504345
2011.4657534,-0.399526
2011.4849315,-0.309842
2011.5041096,-0.491285
2011.5232877,-0.456516
2011.5424658,-0.486707
2011.5616438,-0.498043
2011.5808219,-0.670375
2011.6,-0.637648
2011.6191781,-0.568707
2011.6383562,-0.56635
2011.6575342,-0.524291
2011.6767123,-0.652378
2011.6958904,-0.808195
2011.7150685,-0.897136
2011.7342466,-0.982244
2011.7534247,-1.0481
2011.7726027,-1.048848
2011.7917808,-1.004197
2011.8109589,-0.983123
2011.830137,-1.027811
2011.8493151,-1.023341
2011.8684932,-1.027053
2011.8876712,-0.997296
2011.9068493,-1.031921
2011.9260274,-1.044741
2011.9452055,-1.188093
2011.9643836,-1.319484
2011.9835616,-1.427763
2012.0027322,-1.372083
2012.0218579,-1.364126
2012.0409836,-1.361816
2012.0601093,-1.477424
2012.079235,-1.555758
2012.0983607,-1.334288
2012.1174863,-1.361207
2012.136612,-1.415305
2012.1557377,-1.417077
2012.1748634,-1.282408
2012.1939891,-1.345631
2012.2131148,-1.332149
2012.2322404,-1.160813
2012.2513661,-0.976144
2012.2704918,-0.913894
2012.2896175,-0.795222
2012.3087432,-0.808734
